<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,20030824,1.0869,1.0869,1.0869,1.0869,0
EURUSD,20030825,1.0869,1.0918,1.0845,1.0863,0
EURUSD,20030826,1.0856,1.091,1.0789,1.0853,0
EURUSD,20030827,1.0862,1.0933,1.083,1.0878,0
EURUSD,20030828,1.0873,1.0912,1.0807,1.0884,0
EURUSD,20030829,1.0884,1.1,1.087,1.0989,0
EURUSD,20030831,1.0983,1.0983,1.0983,1.0983,0
EURUSD,20030901,1.0983,1.1014,1.095,1.0965,0
EURUSD,20030902,1.0966,1.0967,1.0802,1.0806,0
EURUSD,20030903,1.0804,1.0872,1.0761,1.0844,0
EURUSD,20030904,1.0839,1.0947,1.0805,1.0942,0
EURUSD,20030905,1.0942,1.111,1.0916,1.1103,0
EURUSD,20030907,1.1096,1.1096,1.1096,1.1096,0
EURUSD,20030908,1.1096,1.113,1.1046,1.1064,0
EURUSD,20030909,1.1066,1.124,1.105,1.1226,0
EURUSD,20030910,1.1223,1.1236,1.1158,1.1209,0
EURUSD,20030911,1.1203,1.1274,1.1152,1.1207,0
EURUSD,20030912,1.1209,1.1327,1.1135,1.1292,0
EURUSD,20030914,1.1269,1.1269,1.1269,1.1269,0
EURUSD,20030915,1.1269,1.1309,1.124,1.1285,0
EURUSD,20030916,1.1283,1.1317,1.1155,1.1175,0
EURUSD,20030917,1.1169,1.1299,1.1135,1.1285,0
EURUSD,20030918,1.1283,1.1346,1.1226,1.1245,0
EURUSD,20030919,1.1256,1.1386,1.1239,1.1376,0
EURUSD,20030921,1.1446,1.1446,1.1446,1.1446,0
EURUSD,20030922,1.1446,1.1503,1.1412,1.1464,0
EURUSD,20030923,1.1461,1.1528,1.1436,1.1446,0
EURUSD,20030924,1.1431,1.1501,1.1424,1.1491,0
EURUSD,20030925,1.1485,1.1535,1.1455,1.1484,0
EURUSD,20030926,1.1491,1.1498,1.1436,1.1461,0
EURUSD,20030928,1.1458,1.1458,1.1458,1.1458,0
EURUSD,20030929,1.1458,1.1603,1.1392,1.159,0
EURUSD,20030930,1.1595,1.1737,1.157,1.1656,0
EURUSD,20031001,1.1659,1.173,1.1641,1.1715,0
EURUSD,20031002,1.1727,1.1767,1.166,1.169,0
EURUSD,20031003,1.1693,1.1719,1.155,1.1576,0
EURUSD,20031005,1.157,1.157,1.157,1.157,0
EURUSD,20031006,1.157,1.1721,1.153,1.1704,0
EURUSD,20031007,1.1715,1.1812,1.1697,1.1765,0
EURUSD,20031008,1.177,1.1838,1.1766,1.1814,0
EURUSD,20031009,1.1808,1.1857,1.1684,1.1745,0
EURUSD,20031010,1.175,1.1851,1.1704,1.1799,0
EURUSD,20031012,1.1807,1.1807,1.1807,1.1807,0
EURUSD,20031013,1.1807,1.1813,1.1649,1.1704,0
EURUSD,20031014,1.1711,1.1767,1.158,1.173,0
EURUSD,20031015,1.1735,1.1748,1.1588,1.163,0
EURUSD,20031016,1.1616,1.1697,1.1563,1.1592,0
EURUSD,20031017,1.1585,1.1681,1.1544,1.1675,0
EURUSD,20031019,1.1709,1.1709,1.1709,1.1709,0
EURUSD,20031020,1.1709,1.1713,1.1602,1.1627,0
EURUSD,20031021,1.1623,1.1699,1.1613,1.1668,0
EURUSD,20031022,1.1668,1.1827,1.1649,1.1803,0
EURUSD,20031023,1.1797,1.1845,1.1753,1.1787,0
EURUSD,20031024,1.1788,1.1854,1.176,1.1777,0
EURUSD,20031026,1.1774,1.1774,1.1774,1.1774,0
EURUSD,20031027,1.1774,1.1785,1.1717,1.1751,0
EURUSD,20031028,1.1745,1.175,1.1655,1.1658,0
EURUSD,20031029,1.1663,1.1721,1.1658,1.1662,0
EURUSD,20031030,1.166,1.1756,1.1617,1.1629,0
EURUSD,20031031,1.162,1.1658,1.1599,1.1638,0
EURUSD,20031102,1.1579,1.1579,1.1579,1.1579,0
EURUSD,20031103,1.1579,1.1618,1.1427,1.1459,0
EURUSD,20031104,1.1462,1.1515,1.1425,1.1502,0
EURUSD,20031105,1.1495,1.1499,1.1412,1.1432,0
EURUSD,20031106,1.1433,1.1464,1.1387,1.1413,0
EURUSD,20031107,1.1411,1.1492,1.1376,1.1485,0
EURUSD,20031109,1.1505,1.1505,1.1505,1.1505,0
EURUSD,20031110,1.1505,1.1536,1.1464,1.1482,0
EURUSD,20031111,1.1471,1.1529,1.1443,1.1508,0
EURUSD,20031112,1.1512,1.166,1.1503,1.1636,0
EURUSD,20031113,1.1629,1.1737,1.1626,1.1729,0
EURUSD,20031114,1.1784,1.1803,1.1729,1.175,0
EURUSD,20031116,1.1786,1.1786,1.1786,1.1786,0
EURUSD,20031117,1.1786,1.1848,1.1725,1.1751,0
EURUSD,20031118,1.1744,1.1958,1.1732,1.1956,0
EURUSD,20031119,1.1967,1.1978,1.1872,1.1879,0
EURUSD,20031120,1.1876,1.1969,1.1869,1.191,0
EURUSD,20031121,1.191,1.1943,1.1858,1.1917,0
EURUSD,20031123,1.1908,1.1908,1.1908,1.1908,0
EURUSD,20031124,1.1908,1.1918,1.1754,1.1764,0
EURUSD,20031125,1.1764,1.1819,1.1751,1.1783,0
EURUSD,20031126,1.1783,1.1946,1.1769,1.194,0
EURUSD,20031127,1.1934,1.1939,1.1883,1.1903,0
EURUSD,20031128,1.1916,1.2016,1.1902,1.1977,0
EURUSD,20031130,1.1974,1.1974,1.1974,1.1974,0
EURUSD,20031201,1.1974,1.204,1.1934,1.197,0
EURUSD,20031202,1.1972,1.2091,1.1941,1.2076,0
EURUSD,20031203,1.2078,1.2127,1.206,1.2111,0
EURUSD,20031204,1.2107,1.2154,1.2028,1.2081,0
EURUSD,20031205,1.2082,1.2163,1.2063,1.2155,0
EURUSD,20031207,1.2171,1.2171,1.2171,1.2171,0
EURUSD,20031208,1.2171,1.224,1.215,1.222,0
EURUSD,20031209,1.2216,1.2276,1.2184,1.2257,0
EURUSD,20031210,1.2258,1.2266,1.215,1.2221,0
EURUSD,20031211,1.222,1.2235,1.211,1.2208,0
EURUSD,20031212,1.2223,1.2281,1.2211,1.2258,0
EURUSD,20031214,1.2203,1.2203,1.2203,1.2203,0
EURUSD,20031215,1.2203,1.2301,1.2133,1.2286,0
EURUSD,20031216,1.2306,1.236,1.2297,1.2322,0
EURUSD,20031217,1.2321,1.2422,1.229,1.2401,0
EURUSD,20031218,1.2409,1.2439,1.2355,1.2434,0
EURUSD,20031219,1.2411,1.2438,1.2343,1.2354,0
EURUSD,20031221,1.2399,1.2399,1.2399,1.2399,0
EURUSD,20031222,1.2399,1.2447,1.2347,1.2397,0
EURUSD,20031223,1.2395,1.2427,1.2383,1.2385,0
EURUSD,20031224,1.2398,1.2471,1.2389,1.245,0
EURUSD,20031228,1.2433,1.2433,1.2433,1.2433,0
EURUSD,20031229,1.2433,1.2511,1.2424,1.2479,0
EURUSD,20031230,1.2482,1.2562,1.2475,1.2547,0
EURUSD,20031231,1.2546,1.2647,1.251,1.2579,0
EURUSD,20040102,1.2563,1.263,1.2527,1.2588,0
EURUSD,20040104,1.2582,1.2582,1.2582,1.2582,0
EURUSD,20040105,1.2582,1.2695,1.258,1.2659,0
EURUSD,20040106,1.2663,1.2811,1.2662,1.2729,0
EURUSD,20040107,1.273,1.2742,1.263,1.2637,0
EURUSD,20040108,1.263,1.2779,1.2559,1.2757,0
EURUSD,20040109,1.2749,1.2868,1.2703,1.2863,0
EURUSD,20040111,1.2845,1.2845,1.2845,1.2845,0
EURUSD,20040112,1.2845,1.2897,1.2733,1.2745,0
EURUSD,20040113,1.2752,1.2795,1.271,1.2762,0
EURUSD,20040114,1.277,1.2789,1.2626,1.2641,0
EURUSD,20040115,1.2646,1.2671,1.2559,1.2571,0
EURUSD,20040116,1.2582,1.2608,1.237,1.2412,0
EURUSD,20040118,1.2359,1.2359,1.2359,1.2359,0
EURUSD,20040119,1.2359,1.2424,1.2331,1.2354,0
EURUSD,20040120,1.2352,1.2595,1.2341,1.258,0
EURUSD,20040121,1.2576,1.2673,1.2549,1.2626,0
EURUSD,20040122,1.2629,1.2752,1.2627,1.2712,0
EURUSD,20040123,1.2706,1.2775,1.2636,1.264,0
EURUSD,20040125,1.2573,1.2573,1.2573,1.2573,0
EURUSD,20040126,1.2573,1.2613,1.2457,1.2469,0
EURUSD,20040127,1.2466,1.2652,1.2436,1.2636,0
EURUSD,20040128,1.2641,1.2662,1.2462,1.248,0
EURUSD,20040129,1.2479,1.2527,1.2361,1.2406,0
EURUSD,20040130,1.2414,1.2499,1.235,1.2419,0
EURUSD,20040201,1.2469,1.2469,1.2469,1.2469,0
EURUSD,20040202,1.2469,1.2486,1.2389,1.2427,0
EURUSD,20040203,1.2425,1.2599,1.2414,1.253,0
EURUSD,20040204,1.2534,1.2562,1.2489,1.2532,0
EURUSD,20040205,1.2535,1.2636,1.2517,1.254,0
EURUSD,20040206,1.2553,1.2723,1.2512,1.2714,0
EURUSD,20040208,1.2609,1.2609,1.2609,1.2609,0
EURUSD,20040209,1.2609,1.2761,1.2602,1.269,0
EURUSD,20040210,1.2694,1.2788,1.2678,1.2691,0
EURUSD,20040211,1.2671,1.2835,1.2645,1.2829,0
EURUSD,20040212,1.2827,1.2845,1.279,1.2825,0
EURUSD,20040213,1.281,1.2893,1.2715,1.2734,0
EURUSD,20040215,1.2748,1.2748,1.2748,1.2748,0
EURUSD,20040216,1.2748,1.2788,1.2714,1.2777,0
EURUSD,20040217,1.2766,1.2877,1.2756,1.2816,0
EURUSD,20040218,1.2842,1.2927,1.2657,1.2671,0
EURUSD,20040219,1.2692,1.2735,1.2648,1.2716,0
EURUSD,20040220,1.2733,1.2766,1.254,1.2565,0
EURUSD,20040222,1.2508,1.2508,1.2508,1.2508,0
EURUSD,20040223,1.2508,1.2594,1.2448,1.2551,0
EURUSD,20040224,1.2556,1.2712,1.252,1.2682,0
EURUSD,20040225,1.2683,1.2708,1.2473,1.2491,0
EURUSD,20040226,1.2496,1.2515,1.2381,1.2433,0
EURUSD,20040227,1.2435,1.2499,1.2373,1.2421,0
EURUSD,20040229,1.2486,1.2486,1.2486,1.2486,0
EURUSD,20040301,1.2486,1.2541,1.2421,1.2444,0
EURUSD,20040302,1.2463,1.2468,1.2194,1.2222,0
EURUSD,20040303,1.2217,1.2223,1.2057,1.2203,0
EURUSD,20040304,1.2204,1.2241,1.2132,1.219,0
EURUSD,20040305,1.2195,1.2434,1.2172,1.2403,0
EURUSD,20040307,1.2386,1.2386,1.2386,1.2386,0
EURUSD,20040308,1.2386,1.2415,1.2335,1.2402,0
EURUSD,20040309,1.2405,1.2461,1.2272,1.2318,0
EURUSD,20040310,1.2318,1.2336,1.2193,1.224,0
EURUSD,20040311,1.2236,1.2347,1.216,1.232,0
EURUSD,20040312,1.2284,1.2376,1.2176,1.2186,0
EURUSD,20040314,1.2188,1.2188,1.2188,1.2188,0
EURUSD,20040315,1.2188,1.2316,1.2184,1.2271,0
EURUSD,20040316,1.2263,1.2373,1.2236,1.2261,0
EURUSD,20040317,1.2269,1.2287,1.2176,1.2234,0
EURUSD,20040318,1.2234,1.2435,1.2218,1.239,0
EURUSD,20040319,1.2393,1.2407,1.2325,1.2335,0
EURUSD,20040321,1.2285,1.2285,1.2285,1.2285,0
EURUSD,20040322,1.2285,1.2402,1.2221,1.2334,0
EURUSD,20040323,1.2333,1.2369,1.2264,1.2328,0
EURUSD,20040324,1.2334,1.2367,1.2115,1.2126,0
EURUSD,20040325,1.2128,1.22,1.2093,1.2128,0
EURUSD,20040326,1.2146,1.2212,1.2075,1.2113,0
EURUSD,20040328,1.2123,1.2123,1.2123,1.2123,0
EURUSD,20040329,1.2123,1.217,1.2047,1.2154,0
EURUSD,20040330,1.2156,1.2228,1.2148,1.2162,0
EURUSD,20040331,1.2163,1.2323,1.2163,1.2312,0
EURUSD,20040401,1.2313,1.2389,1.225,1.2359,0
EURUSD,20040402,1.2368,1.237,1.2117,1.2121,0
EURUSD,20040404,1.211,1.211,1.211,1.211,0
EURUSD,20040405,1.211,1.2128,1.198,1.2013,0
EURUSD,20040406,1.2003,1.2131,1.1979,1.2115,0
EURUSD,20040407,1.2129,1.2195,1.2047,1.2173,0
EURUSD,20040408,1.217,1.222,1.2058,1.2084,0
EURUSD,20040409,1.2068,1.2116,1.2065,1.2101,0
EURUSD,20040411,1.2083,1.2083,1.2083,1.2083,0
EURUSD,20040412,1.2083,1.2098,1.2049,1.2075,0
EURUSD,20040413,1.2076,1.2082,1.1901,1.1943,0
EURUSD,20040414,1.1944,1.1973,1.1864,1.1959,0
EURUSD,20040415,1.1953,1.1993,1.1891,1.198,0
EURUSD,20040416,1.1994,1.2047,1.1925,1.2027,0
EURUSD,20040418,1.2016,1.2016,1.2016,1.2016,0
EURUSD,20040419,1.2016,1.2078,1.2006,1.2018,0
EURUSD,20040420,1.2002,1.2011,1.184,1.1858,0
EURUSD,20040421,1.1851,1.1916,1.1812,1.1838,0
EURUSD,20040422,1.1835,1.1913,1.1781,1.1904,0
EURUSD,20040423,1.1905,1.1944,1.1797,1.1847,0
EURUSD,20040425,1.1804,1.1804,1.1804,1.1804,0
EURUSD,20040426,1.1804,1.1884,1.1759,1.1858,0
EURUSD,20040427,1.1857,1.1947,1.1829,1.1931,0
EURUSD,20040428,1.1927,1.1953,1.1819,1.1839,0
EURUSD,20040429,1.1846,1.1981,1.1802,1.1966,0
EURUSD,20040430,1.1962,1.2016,1.1919,1.1983,0
EURUSD,20040502,1.1993,1.1993,1.1993,1.1993,0
EURUSD,20040503,1.1993,1.1999,1.1918,1.1934,0
EURUSD,20040504,1.1938,1.2117,1.1923,1.21,0
EURUSD,20040505,1.2103,1.218,1.2093,1.2162,0
EURUSD,20040506,1.2165,1.2173,1.2059,1.2079,0
EURUSD,20040507,1.2081,1.2147,1.1875,1.1881,0
EURUSD,20040509,1.1875,1.1875,1.1875,1.1875,0
EURUSD,20040510,1.1875,1.1891,1.1808,1.1841,0
EURUSD,20040511,1.1826,1.1889,1.1787,1.1875,0
EURUSD,20040512,1.1863,1.1941,1.183,1.19,0
EURUSD,20040513,1.1906,1.193,1.1771,1.1819,0
EURUSD,20040514,1.182,1.1905,1.178,1.1887,0
EURUSD,20040516,1.1887,1.1887,1.1887,1.1887,0
EURUSD,20040517,1.1887,1.2059,1.1873,1.2016,0
EURUSD,20040518,1.2012,1.2039,1.1928,1.1953,0
EURUSD,20040519,1.195,1.2042,1.1934,1.201,0
EURUSD,20040520,1.2014,1.2017,1.1888,1.1959,0
EURUSD,20040521,1.1966,1.2075,1.1953,1.1981,0
EURUSD,20040523,1.1985,1.1985,1.1985,1.1985,0
EURUSD,20040524,1.1985,1.2024,1.193,1.2005,0
EURUSD,20040525,1.2005,1.2127,1.1984,1.2096,0
EURUSD,20040526,1.2097,1.2144,1.2078,1.2104,0
EURUSD,20040527,1.2112,1.2286,1.2085,1.2265,0
EURUSD,20040528,1.2263,1.23,1.2201,1.222,0
EURUSD,20040530,1.2235,1.2235,1.2235,1.2235,0
EURUSD,20040531,1.2235,1.2241,1.2175,1.2183,0
EURUSD,20040601,1.2184,1.2265,1.2152,1.2238,0
EURUSD,20040602,1.2242,1.2306,1.2204,1.2212,0
EURUSD,20040603,1.2206,1.2251,1.2167,1.2214,0
EURUSD,20040604,1.2228,1.2301,1.2136,1.2281,0
EURUSD,20040606,1.2297,1.2297,1.2297,1.2297,0
EURUSD,20040607,1.2297,1.2339,1.2289,1.2309,0
EURUSD,20040608,1.232,1.2351,1.2243,1.2256,0
EURUSD,20040609,1.2257,1.2274,1.2034,1.204,0
EURUSD,20040610,1.2038,1.2116,1.202,1.2106,0
EURUSD,20040611,1.2006,1.2112,1.1963,1.2009,0
EURUSD,20040613,1.1981,1.1981,1.1981,1.1981,0
EURUSD,20040614,1.1981,1.2086,1.1949,1.2053,0
EURUSD,20040615,1.2054,1.2167,1.2026,1.2159,0
EURUSD,20040616,1.2158,1.2168,1.1977,1.201,0
EURUSD,20040617,1.2005,1.2077,1.1988,1.2046,0
EURUSD,20040618,1.204,1.2149,1.1974,1.2141,0
EURUSD,20040620,1.2142,1.2142,1.2142,1.2142,0
EURUSD,20040621,1.2142,1.2143,1.2075,1.2113,0
EURUSD,20040622,1.2111,1.2128,1.2062,1.211,0
EURUSD,20040623,1.2111,1.2193,1.206,1.2088,0
EURUSD,20040624,1.2092,1.2188,1.2038,1.2173,0
EURUSD,20040625,1.2184,1.2191,1.2106,1.2179,0
EURUSD,20040627,1.217,1.217,1.217,1.217,0
EURUSD,20040628,1.217,1.2229,1.2119,1.2184,0
EURUSD,20040629,1.2181,1.2191,1.2067,1.2077,0
EURUSD,20040630,1.2076,1.2203,1.2063,1.2184,0
EURUSD,20040701,1.2186,1.2205,1.2129,1.2159,0
EURUSD,20040702,1.2173,1.2314,1.2142,1.231,0
EURUSD,20040704,1.2322,1.2322,1.2322,1.2322,0
EURUSD,20040705,1.2322,1.2333,1.2268,1.2286,0
EURUSD,20040706,1.2281,1.233,1.226,1.2285,0
EURUSD,20040707,1.2283,1.2388,1.2271,1.2373,0
EURUSD,20040708,1.2363,1.2407,1.2337,1.2387,0
EURUSD,20040709,1.2418,1.2423,1.237,1.2393,0
EURUSD,20040711,1.2408,1.2408,1.2408,1.2408,0
EURUSD,20040712,1.2408,1.2436,1.238,1.2409,0
EURUSD,20040713,1.2408,1.2411,1.2296,1.2331,0
EURUSD,20040714,1.2335,1.2421,1.2316,1.2381,0
EURUSD,20040715,1.2378,1.2392,1.2325,1.2354,0
EURUSD,20040716,1.2358,1.246,1.2329,1.2453,0
EURUSD,20040718,1.2441,1.2441,1.2441,1.2441,0
EURUSD,20040719,1.2441,1.246,1.2395,1.2441,0
EURUSD,20040720,1.244,1.2455,1.2297,1.2327,0
EURUSD,20040721,1.2329,1.2351,1.2208,1.2267,0
EURUSD,20040722,1.2278,1.2292,1.2229,1.2249,0
EURUSD,20040723,1.2252,1.2268,1.2089,1.2093,0
EURUSD,20040725,1.2103,1.2103,1.2103,1.2103,0
EURUSD,20040726,1.2103,1.2171,1.2085,1.2145,0
EURUSD,20040727,1.2142,1.2189,1.2031,1.2053,0
EURUSD,20040728,1.2056,1.2079,1.1997,1.2052,0
EURUSD,20040729,1.205,1.2096,1.1988,1.2034,0
EURUSD,20040730,1.2038,1.212,1.2004,1.2018,0
EURUSD,20040801,1.2067,1.2067,1.2067,1.2067,0
EURUSD,20040802,1.2067,1.2094,1.2012,1.2019,0
EURUSD,20040803,1.2021,1.2076,1.199,1.205,0
EURUSD,20040804,1.2045,1.2067,1.1967,1.205,0
EURUSD,20040805,1.2048,1.2073,1.2015,1.2056,0
EURUSD,20040806,1.2055,1.2293,1.2045,1.228,0
EURUSD,20040808,1.2286,1.2286,1.2286,1.2286,0
EURUSD,20040809,1.2286,1.229,1.2242,1.2268,0
EURUSD,20040810,1.227,1.232,1.2223,1.2224,0
EURUSD,20040811,1.2225,1.225,1.2197,1.2222,0
EURUSD,20040812,1.2218,1.2299,1.221,1.2248,0
EURUSD,20040813,1.2248,1.2379,1.2176,1.237,0
EURUSD,20040815,1.2374,1.2374,1.2374,1.2374,0
EURUSD,20040816,1.2374,1.238,1.2314,1.2355,0
EURUSD,20040817,1.2354,1.2387,1.2308,1.2342,0
EURUSD,20040818,1.2341,1.2366,1.2283,1.2334,0
EURUSD,20040819,1.2334,1.2377,1.233,1.2368,0
EURUSD,20040820,1.2367,1.2383,1.2276,1.2314,0
EURUSD,20040822,1.2299,1.2299,1.2299,1.2299,0
EURUSD,20040823,1.2299,1.232,1.2128,1.2143,0
